"sample_week","pathogen","n_infected","n_calves","prop"
"01","anaplasma_bovis_ab983439_ae",41,451,0.0909090909090909
"01","anaplasma_bovis_u03775_ae",16,451,0.0354767184035477
"01","anaplasma_platys_like_ku585990_ae",63,451,0.139689578713969
"01","theileria_mutans_af078815_tb",59,451,0.130820399113082
"01","theileria_parva_l02366_tb",36,451,0.0798226164079823
"01","theileria_sp_strain_msd_af078816_tb",31,451,0.0687361419068736
"01","theileria_velifera_af097993_tb",24,451,0.0532150776053215
"01","uncultured_anaplasma_sp_clone_saso_ky924885_ae",27,451,0.0598669623059867
"02","anaplasma_bovis_ab983439_ae",12,24,0.5
"02","anaplasma_bovis_u03775_ae",7,24,0.291666666666667
"02","anaplasma_platys_like_ku585990_ae",5,24,0.208333333333333
"02","theileria_mutans_af078815_tb",14,24,0.583333333333333
"02","theileria_parva_l02366_tb",13,24,0.541666666666667
"02","theileria_sp_strain_msd_af078816_tb",9,24,0.375
"02","theileria_velifera_af097993_tb",4,24,0.166666666666667
"02","uncultured_anaplasma_sp_clone_saso_ky924885_ae",3,24,0.125
"03","anaplasma_bovis_ab983439_ae",2,4,0.5
"03","anaplasma_bovis_u03775_ae",2,4,0.5
"03","anaplasma_platys_like_ku585990_ae",2,4,0.5
"03","theileria_mutans_af078815_tb",2,4,0.5
"03","theileria_parva_l02366_tb",1,4,0.25
"03","theileria_sp_strain_msd_af078816_tb",2,4,0.5
"03","theileria_velifera_af097993_tb",1,4,0.25
"03","uncultured_anaplasma_sp_clone_saso_ky924885_ae",1,4,0.25
"06","anaplasma_bovis_ab983439_ae",23,405,0.0567901234567901
"06","anaplasma_bovis_u03775_ae",23,405,0.0567901234567901
"06","anaplasma_platys_like_ku585990_ae",78,405,0.192592592592593
"06","theileria_mutans_af078815_tb",100,405,0.246913580246914
"06","theileria_parva_l02366_tb",35,405,0.0864197530864197
"06","theileria_sp_strain_msd_af078816_tb",32,405,0.0790123456790123
"06","theileria_velifera_af097993_tb",17,405,0.0419753086419753
"06","uncultured_anaplasma_sp_clone_saso_ky924885_ae",14,405,0.0345679012345679
"11","anaplasma_bovis_ab983439_ae",74,399,0.18546365914787
"11","anaplasma_bovis_u03775_ae",60,399,0.150375939849624
"11","anaplasma_platys_like_ku585990_ae",128,399,0.320802005012531
"11","theileria_mutans_af078815_tb",158,399,0.395989974937343
"11","theileria_parva_l02366_tb",44,399,0.110275689223058
"11","theileria_sp_strain_msd_af078816_tb",84,399,0.210526315789474
"11","theileria_velifera_af097993_tb",35,399,0.087719298245614
"11","uncultured_anaplasma_sp_clone_saso_ky924885_ae",32,399,0.0802005012531328
"16","anaplasma_bovis_ab983439_ae",99,387,0.255813953488372
"16","anaplasma_bovis_u03775_ae",67,387,0.17312661498708
"16","anaplasma_platys_like_ku585990_ae",166,387,0.428940568475452
"16","theileria_mutans_af078815_tb",190,387,0.490956072351421
"16","theileria_parva_l02366_tb",34,387,0.0878552971576227
"16","theileria_sp_strain_msd_af078816_tb",110,387,0.284237726098191
"16","theileria_velifera_af097993_tb",41,387,0.10594315245478
"16","uncultured_anaplasma_sp_clone_saso_ky924885_ae",62,387,0.160206718346253
"21","anaplasma_bovis_ab983439_ae",149,391,0.381074168797954
"21","anaplasma_bovis_u03775_ae",104,391,0.265984654731458
"21","anaplasma_platys_like_ku585990_ae",190,391,0.485933503836317
"21","theileria_mutans_af078815_tb",209,391,0.534526854219949
"21","theileria_parva_l02366_tb",37,391,0.0946291560102302
"21","theileria_sp_strain_msd_af078816_tb",146,391,0.373401534526854
"21","theileria_velifera_af097993_tb",75,391,0.191815856777494
"21","uncultured_anaplasma_sp_clone_saso_ky924885_ae",78,391,0.199488491048593
"26","anaplasma_bovis_ab983439_ae",144,389,0.370179948586118
"26","anaplasma_bovis_u03775_ae",106,389,0.272493573264781
"26","anaplasma_platys_like_ku585990_ae",195,389,0.501285347043702
"26","theileria_mutans_af078815_tb",222,389,0.570694087403599
"26","theileria_parva_l02366_tb",41,389,0.105398457583548
"26","theileria_sp_strain_msd_af078816_tb",156,389,0.401028277634961
"26","theileria_velifera_af097993_tb",108,389,0.277634961439589
"26","uncultured_anaplasma_sp_clone_saso_ky924885_ae",99,389,0.254498714652956
"31","anaplasma_bovis_ab983439_ae",147,379,0.387862796833773
"31","anaplasma_bovis_u03775_ae",99,379,0.261213720316623
"31","anaplasma_platys_like_ku585990_ae",209,379,0.551451187335092
"31","theileria_mutans_af078815_tb",219,379,0.577836411609499
"31","theileria_parva_l02366_tb",32,379,0.0844327176781003
"31","theileria_sp_strain_msd_af078816_tb",161,379,0.424802110817942
"31","theileria_velifera_af097993_tb",115,379,0.303430079155673
"31","uncultured_anaplasma_sp_clone_saso_ky924885_ae",106,379,0.279683377308707
"36","anaplasma_bovis_ab983439_ae",164,372,0.440860215053763
"36","anaplasma_bovis_u03775_ae",104,372,0.279569892473118
"36","anaplasma_platys_like_ku585990_ae",220,372,0.591397849462366
"36","theileria_mutans_af078815_tb",212,372,0.56989247311828
"36","theileria_parva_l02366_tb",31,372,0.0833333333333333
"36","theileria_sp_strain_msd_af078816_tb",163,372,0.438172043010753
"36","theileria_velifera_af097993_tb",118,372,0.317204301075269
"36","uncultured_anaplasma_sp_clone_saso_ky924885_ae",108,372,0.290322580645161
"41","anaplasma_bovis_ab983439_ae",160,369,0.43360433604336
"41","anaplasma_bovis_u03775_ae",124,369,0.336043360433604
"41","anaplasma_platys_like_ku585990_ae",223,369,0.604336043360434
"41","theileria_mutans_af078815_tb",223,369,0.604336043360434
"41","theileria_parva_l02366_tb",31,369,0.0840108401084011
"41","theileria_sp_strain_msd_af078816_tb",175,369,0.474254742547426
"41","theileria_velifera_af097993_tb",148,369,0.401084010840108
"41","uncultured_anaplasma_sp_clone_saso_ky924885_ae",118,369,0.319783197831978
"46","anaplasma_bovis_ab983439_ae",148,370,0.4
"46","anaplasma_bovis_u03775_ae",105,370,0.283783783783784
"46","anaplasma_platys_like_ku585990_ae",229,370,0.618918918918919
"46","theileria_mutans_af078815_tb",233,370,0.62972972972973
"46","theileria_parva_l02366_tb",33,370,0.0891891891891892
"46","theileria_sp_strain_msd_af078816_tb",171,370,0.462162162162162
"46","theileria_velifera_af097993_tb",155,370,0.418918918918919
"46","uncultured_anaplasma_sp_clone_saso_ky924885_ae",136,370,0.367567567567568
"51","anaplasma_bovis_ab983439_ae",148,357,0.414565826330532
"51","anaplasma_bovis_u03775_ae",92,357,0.257703081232493
"51","anaplasma_platys_like_ku585990_ae",233,357,0.65266106442577
"51","theileria_mutans_af078815_tb",228,357,0.638655462184874
"51","theileria_parva_l02366_tb",29,357,0.0812324929971989
"51","theileria_sp_strain_msd_af078816_tb",184,357,0.515406162464986
"51","theileria_velifera_af097993_tb",159,357,0.445378151260504
"51","uncultured_anaplasma_sp_clone_saso_ky924885_ae",140,357,0.392156862745098
